# t a n e i omx omy omz A B C E lx ly lz ang lox loy loz Ixx Iyy Izz Ixy Iyz Ixz
19800.000 6.217793e+02 6.4498e-02 0.0231 4.9070e-02 -1.1375e-01 4.6680e-02 4.9027e-01 0.687 0.609 0.318 1.313 -0.07929 0.04469 0.33402 0.25290 -936.45632 -786.27504 24898.82926 0.60361 0.33670 0.67340 -0.06239 0.04462 -0.01575 
19900.000 6.178921e+02 6.5108e-02 0.0095 4.9870e-02 -7.4316e-02 7.4602e-02 4.9327e-01 0.686 0.607 0.319 1.313 -0.04621 0.06710 0.33493 0.24453 -1007.91703 -720.69479 24825.41961 0.59857 0.34510 0.66813 -0.05126 0.07611 0.00426 
20000.000 6.122125e+02 6.6016e-02 0.0235 5.2411e-02 -2.4582e-02 1.0601e-01 4.9025e-01 0.685 0.607 0.319 1.325 -0.01065 0.07612 0.33441 0.24935 -1135.40171 -624.58202 24702.12028 0.60173 0.34300 0.66581 -0.03733 0.07923 0.01652 
20100.000 6.062896e+02 6.6985e-02 0.0332 5.2675e-02 2.6191e-02 1.1664e-01 4.8730e-01 0.684 0.606 0.319 1.325 0.02047 0.06729 0.33512 0.24145 -1226.04032 -419.13228 24575.21548 0.60414 0.33273 0.67247 -0.02810 0.05996 0.01626 
20200.000 6.154691e+02 6.5492e-02 0.0122 4.9976e-02 6.7658e-02 8.7131e-02 4.9119e-01 0.685 0.606 0.319 1.325 0.04343 0.04257 0.33820 0.22046 -1224.63120 -189.63022 24775.83830 0.60532 0.32355 0.68162 -0.02113 0.03219 0.00879 
20300.000 6.231190e+02 6.4290e-02 0.0216 4.8372e-02 9.3647e-02 2.3352e-02 4.9500e-01 0.686 0.608 0.318 1.325 0.05846 0.01100 0.34011 0.22128 -1203.85745 -83.09377 24927.36387 0.60745 0.31931 0.68589 -0.01420 0.00985 0.00386 
20400.000 6.254251e+02 6.3935e-02 0.0533 5.0774e-02 9.4265e-02 -4.5831e-02 4.9493e-01 0.687 0.609 0.318 1.313 0.06083 -0.01939 0.34064 0.23453 -1266.80726 39.77375 24940.78508 0.60908 0.31857 0.68630 -0.00689 -0.00837 0.00627 
20500.000 6.156071e+02 6.5470e-02 0.0420 5.2993e-02 6.2573e-02 -9.3203e-02 4.9402e-01 0.687 0.609 0.318 1.313 0.04408 -0.04636 0.34099 0.23013 -1293.87081 223.64136 24754.79376 0.61075 0.32127 0.68245 0.00012 -0.03326 0.01189 
20600.000 6.022787e+02 6.7656e-02 0.0348 5.1728e-02 1.2444e-02 -1.0905e-01 4.9209e-01 0.687 0.608 0.318 1.325 0.01342 -0.06858 0.33827 0.23474 -1189.67975 439.11414 24493.71411 0.61005 0.33105 0.67242 0.00688 -0.06617 0.01338 
20700.000 6.130631e+02 6.5878e-02 0.0421 4.9025e-02 -3.8719e-02 -9.6592e-02 4.9123e-01 0.685 0.606 0.319 1.325 -0.02152 -0.07681 0.33355 0.24972 -1071.18924 567.64004 24708.42608 0.60508 0.34278 0.66239 0.01841 -0.08752 0.00750 
20800.000 6.255741e+02 6.3912e-02 0.0641 4.8694e-02 -7.9279e-02 -7.2841e-02 4.9036e-01 0.685 0.606 0.319 1.325 -0.05310 -0.06672 0.33164 0.25098 -1027.34465 648.53947 24930.46892 0.60437 0.34147 0.66356 0.03375 -0.07988 -0.00557 
20900.000 6.274650e+02 6.3623e-02 0.0651 5.2050e-02 -1.1101e-01 -4.7887e-02 4.8762e-01 0.685 0.607 0.319 1.325 -0.07995 -0.03930 0.33167 0.24609 -993.60454 839.01851 24962.35225 0.61093 0.32805 0.67157 0.04027 -0.03921 -0.02093 
21000.000 6.183817e+02 6.5030e-02 0.0482 5.3031e-02 -1.3703e-01 -2.3304e-02 4.8547e-01 0.686 0.608 0.318 1.313 -0.09946 -0.00547 0.33094 0.26314 -862.35410 994.87438 24803.43758 0.61507 0.32355 0.67404 0.03531 0.01424 -0.02957 
21100.000 6.050409e+02 6.7193e-02 0.0147 5.0414e-02 -1.4739e-01 1.7359e-02 4.8441e-01 0.688 0.609 0.318 1.313 -0.10278 0.02927 0.33027 0.27803 -643.15531 1059.45640 24563.68991 0.61097 0.33259 0.67135 0.03281 0.05849 -0.02746 
21200.000 6.115166e+02 6.6128e-02 0.0338 4.8467e-02 -1.3268e-01 8.1697e-02 4.8096e-01 0.687 0.609 0.318 1.313 -0.08682 0.06314 0.32947 0.27326 -518.37131 1079.35450 24685.70125 0.60413 0.34497 0.66521 0.03875 0.08336 -0.02044 
21300.000 6.205202e+02 6.4694e-02 0.0529 4.9701e-02 -9.0920e-02 1.4983e-01 4.7238e-01 0.686 0.608 0.319 1.325 -0.05585 0.09314 0.32703 0.27181 -442.29259 1153.95704 24844.68639 0.59919 0.35381 0.65916 0.04624 0.09386 -0.01757 
21400.000 6.221153e+02 6.4446e-02 0.0243 5.2951e-02 -3.3823e-02 1.8723e-01 4.6550e-01 0.685 0.606 0.319 1.325 -0.02027 0.11167 0.32383 0.28415 -263.86781 1293.05696 24899.93562 0.59415 0.36138 0.65447 0.05382 0.09844 -0.02203 
21500.000 6.200602e+02 6.4766e-02 0.0083 5.2573e-02 2.8157e-02 1.7325e-01 4.7013e-01 0.685 0.606 0.319 1.325 0.01566 0.11108 0.32382 0.28188 -47.81077 1307.61154 24865.75679 0.58978 0.36569 0.65427 0.06275 0.09776 -0.02513 
21600.000 6.146521e+02 6.5623e-02 0.0221 4.9196e-02 8.7305e-02 1.2197e-01 4.7999e-01 0.685 0.606 0.319 1.313 0.05229 0.09227 0.32663 0.26950 129.85018 1211.94658 24756.16027 0.58528 0.36342 0.66144 0.07342 0.08652 -0.01617 
21700.000 6.112885e+02 6.6165e-02 0.0255 4.8530e-02 1.2676e-01 6.8625e-02 4.8377e-01 0.686 0.608 0.319 1.313 0.08246 0.06360 0.32905 0.27234 214.86237 1179.59294 24687.14529 0.58708 0.35464 0.67060 0.08461 0.05899 0.00462 
21800.000 6.094239e+02 6.6469e-02 0.0240 5.0790e-02 1.3773e-01 3.2943e-02 4.8556e-01 0.687 0.609 0.318 1.313 0.09730 0.03047 0.33143 0.27339 353.43474 1202.05298 24647.60222 0.59466 0.34569 0.67425 0.08708 0.01459 0.02580 
21900.000 6.180333e+02 6.5085e-02 0.0199 5.3006e-02 1.2528e-01 7.1069e-03 4.8983e-01 0.687 0.609 0.318 1.325 0.09322 -0.00363 0.33379 0.25469 600.56103 1171.93531 24820.45999 0.59482 0.34728 0.67245 0.08089 -0.03313 0.03702 
22000.000 6.239413e+02 6.4163e-02 0.0346 5.1530e-02 1.0183e-01 -2.9050e-02 4.9374e-01 0.686 0.608 0.319 1.325 0.07439 -0.03627 0.33523 0.23835 757.64732 1038.88821 24930.70540 0.58326 0.36152 0.66766 0.08043 -0.06879 0.03510 
22100.000 6.247394e+02 6.4040e-02 0.0640 4.8649e-02 7.3729e-02 -7.8876e-02 4.9089e-01 0.685 0.607 0.319 1.325 0.04784 -0.06226 0.33453 0.24351 821.49174 892.49908 24914.12376 0.57300 0.37342 0.66471 0.08951 -0.08027 0.02577 
22200.000 6.130131e+02 6.5886e-02 0.0430 4.9400e-02 3.6793e-02 -1.1616e-01 4.8637e-01 0.684 0.606 0.319 1.313 0.01709 -0.07185 0.33411 0.24572 892.44234 833.99334 24706.08651 0.56448 0.37453 0.67002 0.09949 -0.06580 0.01619 
22300.000 6.013656e+02 6.7810e-02 0.0113 5.1870e-02 -1.5707e-02 -1.1526e-01 4.8913e-01 0.685 0.606 0.319 1.325 -0.01724 -0.06250 0.33681 0.23237 1044.79804 724.39191 24488.22699 0.55739 0.37221 0.68021 0.10766 -0.03662 0.00802 
22400.000 6.166204e+02 6.5309e-02 0.0506 5.2524e-02 -7.0850e-02 -7.0724e-02 4.9451e-01 0.686 0.608 0.318 1.325 -0.04730 -0.03918 0.33986 0.22976 1191.45833 524.98342 24765.85599 0.55325 0.37374 0.68588 0.11365 -0.00950 -0.00013 
22500.000 6.280624e+02 6.3533e-02 0.0704 5.0358e-02 -1.0385e-01 -7.6287e-03 4.9513e-01 0.687 0.609 0.318 1.325 -0.06273 -0.01181 0.34095 0.23525 1207.35664 354.66246 24967.22975 0.54905 0.37896 0.68667 0.11820 0.00677 -0.00972 
22600.000 6.256196e+02 6.3905e-02 0.0543 4.8744e-02 -9.6318e-02 5.1311e-02 4.9455e-01 0.687 0.609 0.318 1.325 -0.05786 0.01937 0.34136 0.22057 1194.39433 233.02058 24945.81912 0.54460 0.38634 0.68332 0.12085 0.02261 -0.02346 
22700.000 6.144796e+02 6.5651e-02 0.0362 5.0712e-02 -6.0689e-02 8.8980e-02 4.9228e-01 0.686 0.608 0.318 1.325 -0.04152 0.05130 0.33867 0.22437 1249.77303 122.09203 24740.59315 0.54075 0.39750 0.67455 0.12079 0.04725 -0.03952 
22800.000 6.029365e+02 6.7545e-02 0.0345 5.2605e-02 -1.2666e-02 1.0086e-01 4.9153e-01 0.685 0.606 0.319 1.313 -0.01736 0.07405 0.33426 0.24491 1286.17774 -103.53943 24506.20944 0.53156 0.41350 0.66470 0.11982 0.06889 -0.04622 
22900.000 6.134891e+02 6.5810e-02 0.0324 5.1684e-02 3.5899e-02 9.8664e-02 4.9115e-01 0.684 0.606 0.319 1.325 0.01482 0.08167 0.33229 0.25404 1236.43920 -326.80482 24722.63106 0.51922 0.42541 0.66461 0.12723 0.07153 -0.03333 
23000.000 6.226109e+02 6.4369e-02 0.0401 4.9253e-02 7.7021e-02 9.0696e-02 4.8849e-01 0.685 0.607 0.319 1.325 0.05160 0.07140 0.33213 0.25090 1147.67119 -435.40341 24901.89238 0.51524 0.42380 0.67168 0.13924 0.04552 -0.00145 
23100.000 6.226044e+02 6.4370e-02 0.0115 4.9397e-02 1.1097e-01 7.7966e-02 4.8587e-01 0.686 0.608 0.318 1.325 0.08496 0.04873 0.33107 0.26240 1114.41858 -525.20007 24919.96673 0.52282 0.41622 0.67366 0.14045 0.00142 0.03292 
23200.000 6.176995e+02 6.5138e-02 0.0125 5.1815e-02 1.3608e-01 4.8479e-02 4.8500e-01 0.687 0.608 0.318 1.325 0.10353 0.01906 0.33005 0.27267 1091.61400 -681.91075 24818.27266 0.52403 0.42025 0.66959 0.13261 -0.03992 0.05316 
23300.000 6.103441e+02 6.6319e-02 0.0350 5.2390e-02 1.5063e-01 -1.1111e-02 4.8267e-01 0.687 0.609 0.318 1.325 0.10460 -0.01746 0.33013 0.26910 934.14091 -893.88727 24656.13221 0.51672 0.43365 0.66421 0.12827 -0.06622 0.05842 
23400.000 6.112545e+02 6.6171e-02 0.0233 5.0455e-02 1.4690e-01 -8.7938e-02 4.7474e-01 0.686 0.608 0.318 1.313 0.09131 -0.05663 0.32825 0.26971 759.30355 -988.60846 24685.42472 0.50772 0.44588 0.65913 0.12746 -0.07614 0.05885 
23500.000 6.144387e+02 6.5657e-02 0.0114 4.8783e-02 1.1509e-01 -1.4988e-01 4.6637e-01 0.685 0.606 0.319 1.325 0.06782 -0.08975 0.32456 0.28503 652.26120 -1017.55424 24756.79192 0.49871 0.45633 0.65552 0.12722 -0.07719 0.06324 
23600.000 6.213777e+02 6.4560e-02 0.0368 5.0569e-02 5.5428e-02 -1.7088e-01 4.6852e-01 0.684 0.606 0.319 1.325 0.03589 -0.10722 0.32332 0.28659 583.38955 -1115.85671 24878.71367 0.48931 0.46510 0.65522 0.12823 -0.07439 0.06548 
23700.000 6.231358e+02 6.4287e-02 0.0459 5.2551e-02 -1.9678e-02 -1.5238e-01 4.7821e-01 0.685 0.606 0.319 1.325 -0.00394 -0.10674 0.32599 0.26851 440.05661 -1233.70155 24901.97159 0.47782 0.47017 0.66226 0.13332 -0.06791 0.05391 
23800.000 6.201252e+02 6.4756e-02 0.0642 5.1427e-02 -8.3535e-02 -1.2091e-01 4.8240e-01 0.686 0.607 0.319 1.325 -0.04497 -0.09496 0.32815 0.26805 165.57455 -1266.67604 24818.08079 0.46877 0.47183 0.67086 0.14286 -0.05385 0.02376 
23900.000 6.110735e+02 6.6200e-02 0.0408 4.9465e-02 -1.1322e-01 -9.2898e-02 4.8417e-01 0.687 0.609 0.318 1.317 -0.07472 -0.07344 0.33066 0.27477 12.40966 -1221.19077 24669.08888 0.47197 0.46833 0.67444 0.15198 -0.02629 -0.01479 
24000.000 6.085013e+02 6.6621e-02 0.0335 4.9299e-02 -1.1583e-01 -6.2596e-02 4.8852e-01 0.687 0.609 0.318 1.313 -0.08845 -0.04054 0.33299 0.26423 -82.30850 -1212.14457 24624.03228 0.47966 0.46322 0.67164 0.14820 0.01150 -0.04833 
24100.000 6.210689e+02 6.4609e-02 0.0582 5.1988e-02 -1.0768e-01 -1.8289e-02 4.9256e-01 0.686 0.608 0.319 1.313 -0.08576 -0.00046 0.33415 0.24664 -236.99182 -1270.92028 24845.34734 0.47687 0.46956 0.66596 0.13681 0.04640 -0.06477 
24200.000 6.266745e+02 6.3744e-02 0.0645 5.2791e-02 -1.0161e-01 3.7288e-02 4.9053e-01 0.685 0.607 0.319 1.325 -0.07266 0.03522 0.33351 0.24895 -437.70628 -1243.38729 24946.58456 0.46350 0.48471 0.66228 0.13213 0.06232 -0.06215 
24300.000 6.208761e+02 6.4639e-02 0.0344 5.0334e-02 -8.4995e-02 8.3550e-02 4.8705e-01 0.685 0.606 0.319 1.325 -0.04893 0.05570 0.33432 0.23857 -639.26244 -1077.57091 24871.08777 0.44895 0.49169 0.66928 0.13587 0.05372 -0.04543 
24400.000 6.116420e+02 6.6108e-02 0.0276 4.8677e-02 -4.3451e-02 1.0766e-01 4.8964e-01 0.685 0.606 0.319 1.325 -0.01605 0.06267 0.33721 0.22370 -707.48372 -972.87181 24692.67571 0.43609 0.49432 0.67955 0.13878 0.03161 -0.02460 
24500.000 6.061214e+02 6.7013e-02 0.0474 5.0235e-02 2.1291e-02 1.0032e-01 4.9422e-01 0.687 0.608 0.318 1.325 0.01974 0.05877 0.34006 0.22761 -807.00340 -934.67792 24560.81247 0.42776 0.49962 0.68605 0.14053 0.01144 -0.00701 
24600.000 6.162489e+02 6.5368e-02 0.0293 5.3013e-02 8.3224e-02 6.2033e-02 4.9497e-01 0.687 0.609 0.318 1.313 0.04815 0.04295 0.34061 0.24022 -988.98732 -866.41055 24778.88240 0.42182 0.50569 0.68665 0.13930 -0.00003 0.00890 
24700.000 6.233912e+02 6.4248e-02 0.0216 5.2656e-02 1.1058e-01 5.3244e-03 4.9391e-01 0.687 0.609 0.318 1.313 0.06115 0.01344 0.34080 0.23204 -1117.66208 -690.55797 24927.37874 0.41724 0.51313 0.68362 0.13646 -0.00887 0.02893 
24800.000 6.223873e+02 6.4403e-02 0.0055 4.9258e-02 9.6975e-02 -4.9693e-02 4.9257e-01 0.686 0.608 0.319 1.325 0.06021 -0.02455 0.33908 0.22720 -1136.22171 -466.76788 24917.07234 0.41613 0.52107 0.67553 0.13072 -0.02301 0.05350 
24900.000 6.148635e+02 6.5589e-02 0.0227 4.8353e-02 5.7802e-02 -8.2917e-02 4.9227e-01 0.685 0.607 0.319 1.325 0.04795 -0.05607 0.33559 0.23915 -1140.24752 -368.11261 24761.07539 0.41296 0.53119 0.66706 0.12161 -0.03871 0.06940 
25000.000 6.052621e+02 6.7156e-02 0.0417 5.1249e-02 1.1808e-02 -9.9099e-02 4.9210e-01 0.684 0.605 0.319 1.325 0.02326 -0.07553 0.33313 0.24338 -1234.49993 -248.05976 24548.43162 0.40063 0.54240 0.66601 0.11535 -0.04702 0.06089 
25100.000 6.124806e+02 6.5972e-02 0.0195 5.3395e-02 -2.6688e-02 -1.0945e-01 4.8936e-01 0.685 0.606 0.319 1.325 -0.01103 -0.08342 0.33254 0.24415 -1319.32266 -57.34885 24708.38584 0.38816 0.55006 0.67181 0.12056 -0.04086 0.02559 
25200.000 6.207075e+02 6.4665e-02 0.0206 5.2088e-02 -6.0182e-02 -1.1472e-01 4.8706e-01 0.686 0.607 0.319 1.325 -0.04952 -0.07954 0.33189 0.25713 -1288.24537 149.31747 24874.93152 0.38992 0.54783 0.67414 0.12748 -0.01851 -0.02347 
25300.000 6.252777e+02 6.3957e-02 0.0550 4.8733e-02 -9.7774e-02 -1.0345e-01 4.8562e-01 0.687 0.609 0.318 1.313 -0.08251 -0.06345 0.33045 0.27740 -1180.20809 293.93536 24938.11430 0.39998 0.54392 0.66997 0.12418 0.01021 -0.06292 
25400.000 6.197959e+02 6.4808e-02 0.0517 4.8932e-02 -1.3587e-01 -5.9507e-02 4.8381e-01 0.687 0.609 0.318 1.313 -0.10052 -0.03207 0.33048 0.27105 -1153.29976 385.68148 24832.71580 0.40156 0.54882 0.66438 0.11334 0.03305 -0.08106 
25500.000 6.090645e+02 6.6528e-02 0.0458 5.2354e-02 -1.6712e-01 1.2388e-02 4.7617e-01 0.687 0.609 0.318 1.325 -0.10648 0.01053 0.32888 0.26663 -1144.53109 595.34888 24619.56419 0.39819 0.55669 0.65913 0.10486 0.04442 -0.08658 
25600.000 6.113752e+02 6.6151e-02 0.0408 5.3190e-02 -1.6922e-01 8.2757e-02 4.6613e-01 0.685 0.606 0.319 1.325 -0.10027 0.05065 0.32426 0.28121 -1055.20182 782.14977 24670.49781 0.39300 0.56209 0.65526 0.09707 0.04410 -0.08967 
25700.000 6.202171e+02 6.4742e-02 0.0608 5.1130e-02 -1.2843e-01 1.3022e-01 4.6698e-01 0.685 0.606 0.319 1.325 -0.07983 0.08077 0.32289 0.28707 -909.21919 887.30746 24825.64172 0.38547 0.56834 0.65560 0.09094 0.03949 -0.09029 
25800.000 6.245302e+02 6.4072e-02 0.0583 4.8571e-02 -5.2157e-02 1.4863e-01 4.7729e-01 0.685 0.606 0.319 1.325 -0.04326 0.09868 0.32601 0.27284 -773.78978 931.91333 24918.62818 0.37372 0.57367 0.66283 0.08843 0.03778 -0.07733 
25900.000 6.215882e+02 6.4528e-02 0.0492 5.0036e-02 2.2686e-02 1.4839e-01 4.8211e-01 0.686 0.608 0.319 1.313 -0.00076 0.10668 0.32833 0.27407 -704.17226 1027.26556 24870.32659 0.35945 0.58132 0.67147 0.08991 0.03811 -0.04616 
26000.000 6.127543e+02 6.5928e-02 0.0132 5.3012e-02 6.3672e-02 1.3400e-01 4.8370e-01 0.687 0.609 0.318 1.313 0.03462 0.09976 0.33025 0.27308 -532.10934 1198.74173 24716.94709 0.35388 0.58617 0.67440 0.09709 0.03107 -0.00190 
26100.000 6.110882e+02 6.6198e-02 0.0262 5.2481e-02 7.8615e-02 1.0814e-01 4.8750e-01 0.687 0.609 0.318 1.342 0.06090 0.07696 0.33245 0.25876 -326.89621 1254.40318 24677.69871 0.36117 0.58152 0.67200 0.10098 0.01260 0.04428 
26200.000 6.133665e+02 6.5829e-02 0.0457 5.0035e-02 9.0496e-02 6.9010e-02 4.9127e-01 0.686 0.607 0.319 1.325 0.07793 0.04236 0.33310 0.24717 -174.59269 1224.98031 24709.42405 0.37051 0.57601 0.66537 0.09133 -0.01152 0.07754 
26300.000 6.189590e+02 6.4939e-02 0.0207 4.8945e-02 1.0949e-01 1.6849e-02 4.9029e-01 0.685 0.606 0.319 1.325 0.08400 0.00386 0.33286 0.25289 -74.60003 1214.66849 24843.75571 0.36875 0.58096 0.66064 0.07780 -0.02947 0.08631 
26400.000 6.220473e+02 6.4456e-02 0.0033 5.1102e-02 1.1813e-01 -3.5908e-02 4.8631e-01 0.685 0.606 0.319 1.325 0.07386 -0.02800 0.33347 0.25301 61.41047 1272.48222 24908.19642 0.35583 0.58760 0.66622 0.07090 -0.03141 0.07069 
26500.000 6.202589e+02 6.4735e-02 0.0244 5.2787e-02 9.1608e-02 -7.7709e-02 4.8849e-01 0.685 0.606 0.319 1.325 0.04600 -0.04975 0.33654 0.23139 331.33653 1271.18846 24862.88888 0.34251 0.58957 0.67795 0.06877 -0.02095 0.04087 
